channel,class,human_msgs,bot_msgs,threads,members,first,last,top_people,storage_links,signal_flags,purpose
toppan-web,client-web-build,3069,17,170,11,2026-01-02,2026-07-22,"Zac Forsman, Kerri Graber, Rachel Gunderson, Roslyn Cashman","Figma(48), GDocs(41), Trello(25), Accelo(18)",contract:2; proposal:5; template:7; process:12; renewal:3; kickoff:77,
university-athlete20251210,client-single,2715,1,265,29,2026-01-01,2026-07-23,"U096HK7GF36, U09ELUCTQTD, U09JU576AKV, U096HJY5S12","GDocs(51), Jira(30), Figma(15), GDrive(15)",contract:2; proposal:7; template:81; process:12; renewal:1; kickoff:39,
tsr-injury-law,client-single,1105,1,80,18,2026-01-05,2026-07-23,"Reed Langton-Yanowitz, Courtney Stageberg, Paige DeRoma, Sam P","GDocs(49), Accelo(21), Notion(2), GDrive(1)",proposal:4; template:3; process:5; renewal:5; kickoff:28,
prinsco-water-table-podcast,client-single,987,14,46,10,2026-01-16,2026-07-21,"Emma Noriega, Courtney Stageberg, Arin Seeger, Zander Tsadwa","GDocs(15), Accelo(4), GDrive(3)",proposal:11; template:9; process:6; kickoff:47,
water-cooler,noise/internal-ops,926,24,84,32,2026-03-26,2026-07-23,"Sam Kirchoff, Arin Seeger, Emma Noriega, Kate Berstene",,proposal:1; process:2,
maryland_oncology_hematology,client-single,918,6,99,12,2026-01-05,2026-07-22,"Rachel Gunderson, Emma Pavleck, Emma Noriega, Paige DeRoma","Accelo(46), GDocs(32), GDrive(4)",contract:1; proposal:2; process:6; kickoff:10,
frsecure,client-single,875,5,101,17,2026-01-05,2026-07-23,"Rachel Gunderson, Joey Merz, Paige DeRoma, Veronica Snyder (Johnson)","Accelo(61), GDocs(37), HubSpot(6), GDrive(3)",proposal:8; template:10; process:26; renewal:1; kickoff:8,
toppan-merrill-all,client-account,810,17,102,15,2026-01-02,2026-07-23,"Rachel Gunderson, Paige DeRoma, Joe Kerlin, Mark Van Cleve","Accelo(28), GDocs(24), Beautiful.ai(2), SharePoint(1)",proposal:2; template:2; process:5; kickoff:15,
ecowater-all,client-account,783,1,65,21,2026-01-05,2026-07-23,"Rachel Gunderson, Veronica Snyder (Johnson), Joey Merz, Kate Berstene","Accelo(23), GDrive(22), GDocs(20), HubSpot(3)",sow:1; proposal:6; template:2; process:10; kickoff:6,
renew-all,client-account,770,16,87,0,2026-01-02,2026-07-16,"Kaitlyn Benson, Emma Noriega, Devon Gjebre, Joe Kerlin","Accelo(40), GDocs(28), Figma(15), GDrive(1)",sow:3; proposal:1; template:2; process:7; renewal:55; kickoff:4,
idi-all,client-account,699,7,70,0,2026-01-05,2026-07-22,"Kate Berstene, Evan Wilberg, Steven Tondi, Joey Merz","GDocs(36), Accelo(11), Figma(8), Notion(4)",proposal:1; template:5; process:21; renewal:4; kickoff:5,
ispiri-web,client-web-build,699,4,54,9,2026-01-06,2026-07-21,"Casey MacLeod, Kaitlyn Benson, Carter S, Morgan May","Accelo(12), GDocs(7), Figma(6), GDrive(3)",proposal:3; template:3; kickoff:5,
general,noise/internal-ops,697,37,120,60,2026-01-05,2026-07-23,"Megan Terwilliger, Veronica Snyder (Johnson), Paul Patane, Sam Kirchoff","GDocs(5), GDrive(2)",sow:2; proposal:3; template:2; process:8; kickoff:1,This channel is for team-wide communication and announcements. All team members are in this channel.
nura-clinics-and-cpi-all,client-account,677,2,75,14,2026-01-06,2026-07-22,"Kaitlyn Benson, Emma Pavleck, Carter S, Devon Gjebre","GDocs(35), Accelo(8), Beautiful.ai(4), GDrive(2)",sow:1; contract:3; process:13; renewal:2; kickoff:4,
halco,client-single,650,3,64,15,2026-01-06,2026-07-23,"Emma Noriega, SJ Sajwani, Reed Langton-Yanowitz, Carter S","Accelo(57), GDocs(51), Beautiful.ai(2), GDrive(1)",sow:1; proposal:2; template:3; process:8; renewal:1; kickoff:23,
mgk,client-single,629,1,44,5,2026-01-09,2026-07-23,"Evan Wilberg, Casey MacLeod, Zac Forsman, Carolina Sewald","Accelo(18), Figma(10), GDocs(9), Loom(1)",proposal:2; process:1; kickoff:3,
mhub-web,client-web-build,627,4,32,8,2026-03-05,2026-06-22,"Jasper Tung, Zac Forsman, Joey Merz, Tony Notermann","GDocs(45), HubSpot(7), GDrive(2), Accelo(2)",sow:5; contract:1; process:12; kickoff:8,
cpc-all,client-account,592,2,79,10,2026-01-02,2026-07-23,"Kaitlyn Benson, Evan Wilberg, Steven Tondi, Sam P","GDocs(42), Accelo(35), GDrive(12), Figma(2)",sow:2; proposal:4; process:2; kickoff:7,
mmt-web,client-web-build,592,3,30,9,2026-01-09,2026-07-22,"Jasper Tung, Lauren C, Kerri Graber, Brody Howard","Figma(19), GDocs(10), GDrive(4), Beautiful.ai(2)",sow:3; template:6; process:6; kickoff:17,
ispiri-all,client-account,588,2,63,13,2026-01-02,2026-07-22,"Kaitlyn Benson, Emma Pavleck, Jason Goldenberg, Carter S","GDocs(34), Accelo(11), GDrive(2), Dropbox(1)",sow:1; proposal:3; process:3; renewal:2; kickoff:3,
metro-state-all,client-account,557,3,36,10,2026-01-07,2026-07-21,"Rachel Gunderson, Ben Wachholz, Steven Tondi, Paul Patane","Accelo(38), GDocs(25), GDrive(18), SharePoint(8)",sow:2; contract:3; proposal:1; template:1; process:3; kickoff:16,
worksmart-it-web,client-web-build,550,12,34,9,2026-01-30,2026-05-26,"Kerri Graber, Benito Speridon, Carter S, Brody Howard","GDocs(6), Figma(5), Beautiful.ai(2), Accelo(2)",template:9; process:2; renewal:1; kickoff:10,
alumiplate-all,client-account,533,5,51,13,2026-01-07,2026-07-23,"Kaitlyn Benson, Joey Merz, Evan Wilberg, Jason Goldenberg","GDocs(28), Accelo(8), HubSpot(3), SharePoint(1)",sow:1; contract:2; template:5; process:8; renewal:1; kickoff:4,
temp-hubspot-implement,client-hubspot/MA,529,1,58,0,2026-01-03,2026-02-17,"Joey Merz, U09CJEB1M46, UBXPEFS0Y, U096HK7GF36","HubSpot(22), GDocs(5), Notion(2)",contract:5; template:1; process:30; renewal:4; kickoff:1,
r55-internal-gougeon-brothers,client-single,490,4,58,14,2026-01-05,2026-07-22,"Robert Portnoy, Kate Berstene, Paige DeRoma, Emma Noriega","Accelo(35), GDocs(25), Figma(10), GDrive(5)",template:3; process:5; kickoff:2,
wagner-all,client-account,482,5,48,7,2026-01-02,2026-07-23,"Kate Berstene, Ben Wachholz, Heidi Boaz, Steven Tondi","GDocs(32), Accelo(17), GDrive(2), Beautiful.ai(1)",proposal:3; process:2; kickoff:5,
prinsco,client-single,467,7,47,13,2026-01-06,2026-07-22,"Courtney Stageberg, Emma Noriega, Arin Seeger, Zander Tsadwa","GDocs(57), Accelo(54), GDrive(5)",template:5; process:28; renewal:3; kickoff:13,
university-athlete,client-single,456,4,58,12,2026-01-05,2026-06-24,"Veronica Snyder (Johnson), SJ Sajwani, Jason Goldenberg, Ben Wachholz","Accelo(20), GDocs(16), GDrive(7)",template:7; process:7; renewal:2; kickoff:4,
blaine-brothers,client-single,455,2,36,13,2026-01-01,2026-07-23,"Rachel Gunderson, Kiley Moore, Aaron L, Zander Tsadwa","GDocs(20), Accelo(15), Beautiful.ai(1)",proposal:9; template:2; process:2; kickoff:1,
c2-properties-solution-all,client-account,439,9,34,13,2026-01-02,2026-07-22,"SJ Sajwani, Aaron L, Tony Notermann, Kaitlyn Benson","GDocs(16), Accelo(11), Figma(5), GDrive(2)",sow:1; proposal:1; template:5; process:6; renewal:2; kickoff:9,
